Timestamp,Device_ID,Temperature_C,Humidity_%,Distance_cm,Material_Level_%,Status,Active_Alerts
2026-06-01 08:00:00,REMAC_003,30.6,65.4,2.11,99.7,DANGER,High Humidity
2026-06-01 08:00:05,REMAC_003,47.9,50.8,11.2,75.8,DANGER,High Temperature
2026-06-01 08:00:10,REMAC_003,30.1,44.3,22.79,45.3,SAFE,None
2026-06-01 08:00:15,REMAC_003,29.2,48.2,24.72,40.2,SAFE,None
2026-06-01 08:00:20,REMAC_003,26.2,64.0,11.92,73.9,DANGER,High Humidity
2026-06-01 08:00:25,REMAC_003,31.3,51.9,20.66,50.9,SAFE,None
2026-06-01 08:00:30,REMAC_003,26.7,47.8,6.18,89.0,SAFE,None
2026-06-01 08:00:35,REMAC_003,31.5,46.1,19.02,55.2,SAFE,None
2026-06-01 08:00:40,REMAC_003,29.8,38.1,20.43,51.5,SAFE,None
2026-06-01 08:00:45,REMAC_003,30.7,48.1,7.02,86.8,SAFE,None
2026-06-01 08:00:50,REMAC_003,28.5,42.4,23.43,43.6,SAFE,None
2026-06-01 08:00:55,REMAC_003,33.1,51.3,15.6,64.2,SAFE,None
2026-06-01 08:01:00,REMAC_003,29.1,43.4,24.12,41.8,SAFE,None
2026-06-01 08:01:05,REMAC_003,32.5,49.8,9.18,81.1,SAFE,None
2026-06-01 08:01:10,REMAC_003,30.4,40.6,4.85,92.5,SAFE,None
2026-06-01 08:01:15,REMAC_003,26.5,46.0,3.29,96.6,SAFE,None
2026-06-01 08:01:20,REMAC_003,31.7,50.1,12.26,73.0,SAFE,None
2026-06-01 08:01:25,REMAC_003,26.2,52.3,11.61,74.7,SAFE,None
2026-06-01 08:01:30,REMAC_003,33.4,47.3,16.36,62.2,SAFE,None
2026-06-01 08:01:35,REMAC_003,34.6,44.3,35.06,13.0,DANGER,Low Material Level
2026-06-01 08:01:40,REMAC_003,33.8,49.7,17.73,58.6,SAFE,None
2026-06-01 08:01:45,REMAC_003,30.3,47.8,14.84,66.2,SAFE,None
2026-06-01 08:01:50,REMAC_003,29.5,49.1,26.13,36.5,SAFE,None
2026-06-01 08:01:55,REMAC_003,44.8,47.6,21.72,48.1,DANGER,High Temperature
2026-06-01 08:02:00,REMAC_003,27.9,50.1,5.99,89.5,SAFE,None
2026-06-01 08:02:05,REMAC_003,32.6,51.3,5.95,89.6,SAFE,None
2026-06-01 08:02:10,REMAC_003,27.1,39.5,34.91,13.4,DANGER,Low Material Level
2026-06-01 08:02:15,REMAC_003,33.5,40.7,11.8,74.2,SAFE,None
2026-06-01 08:02:20,REMAC_003,29.6,47.1,23.32,43.9,SAFE,None
2026-06-01 08:02:25,REMAC_003,27.2,40.3,18.3,57.1,SAFE,None
2026-06-01 08:02:30,REMAC_003,26.0,41.6,12.53,72.3,SAFE,None
2026-06-01 08:02:35,REMAC_003,34.6,40.0,13.78,69.0,SAFE,None
2026-06-01 08:02:40,REMAC_003,30.1,38.5,3.6,95.8,SAFE,None
2026-06-01 08:02:45,REMAC_003,27.3,38.3,11.08,76.1,SAFE,None
2026-06-01 08:02:50,REMAC_003,26.7,50.0,5.95,89.6,SAFE,None
2026-06-01 08:02:55,REMAC_003,27.3,42.6,8.31,83.4,SAFE,None
2026-06-01 08:03:00,REMAC_003,29.4,39.9,2.95,97.5,SAFE,None
2026-06-01 08:03:05,REMAC_003,32.9,62.1,9.26,80.9,DANGER,High Humidity
2026-06-01 08:03:10,REMAC_003,33.8,47.7,26.47,35.6,SAFE,None
