Timestamp,Device_ID,Temperature_C,Humidity_%,Distance_cm,Material_Level_%,Status,Active_Alerts,Received_Time,RF_Prediction,IsolationForest_Result,LSTM_Next_Status_Prediction
2026-06-01 08:00:00,REMAC_001,35.0,43.8,21.15,49.6,SAFE,None,2026-06-01 08:00:00,SAFE,Normal,SAFE
2026-06-01 08:00:00,REMAC_002,35.0,62.8,8.16,83.8,DANGER,High Humidity,2026-06-01 08:00:00,DANGER,Anomaly,DANGER
2026-06-01 08:00:00,REMAC_003,30.6,65.4,2.11,99.7,DANGER,High Humidity,2026-06-01 08:00:00,DANGER,Anomaly,DANGER
2026-06-01 08:00:05,REMAC_001,28.2,41.6,28.37,30.6,SAFE,None,2026-06-01 08:00:05,SAFE,Normal,SAFE
2026-06-01 08:00:05,REMAC_002,29.2,44.9,17.12,60.2,SAFE,None,2026-06-01 08:00:05,SAFE,Normal,SAFE
2026-06-01 08:00:05,REMAC_003,47.9,50.8,11.2,75.8,DANGER,High Temperature,2026-06-01 08:00:05,DANGER,Anomaly,DANGER
2026-06-01 08:00:10,REMAC_001,30.3,45.0,9.49,80.3,SAFE,None,2026-06-01 08:00:10,SAFE,Normal,SAFE
2026-06-01 08:00:10,REMAC_002,37.5,49.6,26.36,35.9,SAFE,None,2026-06-01 08:00:10,SAFE,Normal,SAFE
2026-06-01 08:00:10,REMAC_003,30.1,44.3,22.79,45.3,SAFE,None,2026-06-01 08:00:10,SAFE,Normal,SAFE
2026-06-01 08:00:15,REMAC_001,29.6,44.0,13.63,69.4,SAFE,None,2026-06-01 08:00:15,SAFE,Normal,SAFE
2026-06-01 08:00:15,REMAC_002,30.1,52.2,7.36,85.9,SAFE,None,2026-06-01 08:00:15,SAFE,Normal,SAFE
2026-06-01 08:00:15,REMAC_003,29.2,48.2,24.72,40.2,SAFE,None,2026-06-01 08:00:15,SAFE,Normal,SAFE
2026-06-01 08:00:20,REMAC_001,28.3,43.3,6.22,88.9,SAFE,None,2026-06-01 08:00:20,SAFE,Normal,SAFE
2026-06-01 08:00:20,REMAC_002,36.6,43.1,17.39,59.5,SAFE,None,2026-06-01 08:00:20,SAFE,Normal,SAFE
2026-06-01 08:00:20,REMAC_003,26.2,64.0,11.92,73.9,DANGER,High Humidity,2026-06-01 08:00:20,DANGER,Anomaly,DANGER
2026-06-01 08:00:25,REMAC_001,28.4,54.8,18.87,55.6,SAFE,None,2026-06-01 08:00:25,SAFE,Normal,SAFE
2026-06-01 08:00:25,REMAC_002,37.1,42.3,12.68,71.9,SAFE,None,2026-06-01 08:00:25,SAFE,Normal,SAFE
2026-06-01 08:00:25,REMAC_003,31.3,51.9,20.66,50.9,SAFE,None,2026-06-01 08:00:25,SAFE,Normal,SAFE
2026-06-01 08:00:30,REMAC_001,33.0,52.2,15.07,65.6,SAFE,None,2026-06-01 08:00:30,SAFE,Normal,SAFE
2026-06-01 08:00:30,REMAC_002,30.4,49.9,18.76,55.9,SAFE,None,2026-06-01 08:00:30,SAFE,Normal,SAFE
