Timestamp,Device_ID,Temperature_C,Humidity_%,Distance_cm,Material_Level_%,Status,Active_Alerts
2026-06-01 08:00:00,REMAC_ABS_007,33.4,45.4,38.84,3.0,DANGER,Low Material Level
2026-06-01 08:00:05,REMAC_ABS_007,34.5,55.0,39.21,2.1,DANGER,Low Material Level
2026-06-01 08:00:10,REMAC_ABS_007,31.5,44.2,24.97,39.6,SAFE,None
2026-06-01 08:00:15,REMAC_ABS_007,39.4,44.5,4.24,94.1,SAFE,None
2026-06-01 08:00:20,REMAC_ABS_007,31.0,51.8,6.89,87.1,SAFE,None
2026-06-01 08:00:25,REMAC_ABS_007,39.0,58.0,20.57,51.1,SAFE,None
2026-06-01 08:00:30,REMAC_ABS_007,38.6,48.2,18.52,56.5,SAFE,None
2026-06-01 08:00:35,REMAC_ABS_007,37.7,53.5,39.77,0.6,DANGER,Low Material Level
2026-06-01 08:00:40,REMAC_ABS_007,32.9,55.4,31.81,21.6,SAFE,None
2026-06-01 08:00:45,REMAC_ABS_007,36.0,54.1,39.06,2.5,DANGER,Low Material Level
2026-06-01 08:00:50,REMAC_ABS_007,31.2,48.4,11.33,75.5,SAFE,None
2026-06-01 08:00:55,REMAC_ABS_007,37.7,44.5,34.47,14.6,DANGER,Low Material Level
2026-06-01 08:01:00,REMAC_ABS_007,34.8,39.0,6.98,86.9,SAFE,None
2026-06-01 08:01:05,REMAC_ABS_007,33.8,48.7,15.55,64.3,SAFE,None
2026-06-01 08:01:10,REMAC_ABS_007,31.3,55.9,31.28,22.9,SAFE,None
2026-06-01 08:01:15,REMAC_ABS_007,27.6,44.4,34.01,15.8,SAFE,None
2026-06-01 08:01:20,REMAC_ABS_007,31.9,53.5,16.15,62.8,SAFE,None
2026-06-01 08:01:25,REMAC_ABS_007,38.3,45.2,5.77,90.1,SAFE,None
2026-06-01 08:01:30,REMAC_ABS_007,33.8,50.5,12.7,71.8,SAFE,None
2026-06-01 08:01:35,REMAC_ABS_007,34.5,53.5,26.76,34.9,SAFE,None
2026-06-01 08:01:40,REMAC_ABS_007,37.0,46.7,17.68,58.7,SAFE,None
2026-06-01 08:01:45,REMAC_ABS_007,40.4,50.9,28.19,31.1,DANGER,High Temperature
2026-06-01 08:01:50,REMAC_ABS_007,39.0,47.9,2.03,99.9,SAFE,None
2026-06-01 08:01:55,REMAC_ABS_007,32.1,53.5,11.54,74.9,SAFE,None
2026-06-01 08:02:00,REMAC_ABS_007,29.2,51.2,16.65,61.4,SAFE,None
2026-06-01 08:02:05,REMAC_ABS_007,42.1,50.3,23.92,42.3,DANGER,High Temperature
2026-06-01 08:02:10,REMAC_ABS_007,41.8,57.8,16.51,61.8,DANGER,High Temperature
2026-06-01 08:02:15,REMAC_ABS_007,35.6,53.3,27.02,34.2,SAFE,None
2026-06-01 08:02:20,REMAC_ABS_007,31.2,46.5,38.9,2.9,DANGER,Low Material Level
2026-06-01 08:02:25,REMAC_ABS_007,37.9,49.6,24.99,39.5,SAFE,None
2026-06-01 08:02:30,REMAC_ABS_007,34.7,49.6,4.64,93.0,SAFE,None
2026-06-01 08:02:35,REMAC_ABS_007,34.7,50.4,16.2,62.6,SAFE,None
2026-06-01 08:02:40,REMAC_ABS_007,37.7,62.6,36.81,8.4,DANGER,High Humidity; Low Material Level
2026-06-01 08:02:45,REMAC_ABS_007,36.0,51.9,6.37,88.5,SAFE,None
2026-06-01 08:02:50,REMAC_ABS_007,31.4,39.8,29.78,26.9,SAFE,None
2026-06-01 08:02:55,REMAC_ABS_007,34.0,47.3,30.74,24.4,SAFE,None
2026-06-01 08:03:00,REMAC_ABS_007,37.0,40.3,28.71,29.7,SAFE,None
2026-06-01 08:03:05,REMAC_ABS_007,36.5,48.4,18.07,57.7,SAFE,None
