Timestamp,Temperature,Humidity,Distance,Material_Level
2026-06-01 08:25:35,31.3,48.8,29.44,27.8
2026-06-01 08:25:40,33.1,44.9,21.76,48.0
2026-06-01 08:25:45,42.8,47.5,36.77,8.5
2026-06-01 08:25:50,33.1,48.6,6.75,87.5
2026-06-01 08:25:55,35.4,64.5,5.15,91.7
2026-06-01 08:26:00,34.3,42.3,20.43,51.5
2026-06-01 08:26:05,32.4,52.5,11.31,75.5
2026-06-01 08:26:10,41.0,43.7,5.84,89.9
2026-06-01 08:26:15,33.6,47.1,30.16,25.9
2026-06-01 08:26:20,28.9,52.4,6.6,87.9
2026-06-01 08:26:25,27.0,40.4,19.33,54.4
2026-06-01 08:26:30,29.5,53.9,8.99,81.6
2026-06-01 08:26:35,27.5,50.5,27.42,33.1
2026-06-01 08:26:40,29.0,49.4,24.38,41.1
2026-06-01 08:26:45,34.2,43.7,28.26,30.9
2026-06-01 08:26:50,33.9,45.6,27.73,32.3
2026-06-01 08:26:55,28.7,43.1,13.13,70.7
2026-06-01 08:27:00,29.1,72.5,23.13,44.4
2026-06-01 08:27:05,27.7,49.0,25.26,38.8
2026-06-01 08:27:10,32.2,44.1,7.28,86.1
2026-06-01 08:27:15,27.5,55.0,26.59,35.3
2026-06-01 08:27:20,35.3,44.0,12.64,72.0
2026-06-01 08:27:25,29.6,42.4,21.34,49.1
2026-06-01 08:27:30,33.7,49.5,28.41,30.5
2026-06-01 08:27:35,29.3,53.9,23.39,43.7
2026-06-01 08:27:40,29.8,52.0,35.97,10.6
2026-06-01 08:27:45,42.8,43.0,5.27,91.4
2026-06-01 08:27:50,33.3,54.3,18.83,55.7
2026-06-01 08:27:55,31.1,45.1,26.28,36.1
2026-06-01 08:28:00,33.0,50.2,12.45,72.5
2026-06-01 08:28:05,35.3,41.0,23.96,42.2
2026-06-01 08:28:10,34.6,52.9,11.08,76.1
2026-06-01 08:28:15,27.5,51.3,26.66,35.1
2026-06-01 08:28:20,31.1,43.1,30.12,26.0
2026-06-01 08:28:25,33.1,43.9,11.65,74.6
2026-06-01 08:28:30,31.6,40.1,35.74,11.2
2026-06-01 08:28:35,29.2,45.7,22.94,44.9
2026-06-01 08:28:40,34.4,41.9,28.3,30.8
2026-06-01 08:28:45,30.3,43.3,26.32,36.0
2026-06-01 08:28:50,27.6,51.7,20.51,51.3
2026-06-01 08:28:55,33.5,52.9,7.36,85.9
2026-06-01 08:29:00,30.5,43.5,22.14,47.0
2026-06-01 08:29:05,33.7,40.7,9.52,80.2
2026-06-01 08:29:10,28.7,54.6,6.94,87.0
2026-06-01 08:29:15,32.6,41.5,10.25,78.3
2026-06-01 08:29:20,34.3,45.6,17.28,59.8
2026-06-01 08:29:25,32.3,46.9,27.76,32.2
2026-06-01 08:29:30,28.4,40.5,23.47,43.5
2026-06-01 08:29:35,27.7,42.5,19.4,54.2
2026-06-01 08:29:40,29.0,47.8,19.25,54.6
2026-06-01 08:29:45,29.8,46.3,28.03,31.5
2026-06-01 08:29:50,31.6,47.3,9.79,79.5
2026-06-01 08:29:55,33.9,47.7,26.13,36.5
2026-06-01 08:30:00,42.6,52.2,23.05,44.6
2026-06-01 08:30:05,28.2,43.7,36.28,9.8
2026-06-01 08:30:10,27.9,40.9,20.28,51.9
2026-06-01 08:30:15,34.2,42.1,19.1,55.0
2026-06-01 08:30:20,27.3,54.8,30.39,25.3
2026-06-01 08:30:25,32.9,54.9,26.28,36.1
2026-06-01 08:30:30,27.7,52.7,9.98,79.0
2026-06-01 08:30:35,32.3,40.8,18.23,57.3
2026-06-01 08:30:40,32.3,44.6,8.19,83.7
2026-06-01 08:30:45,35.8,41.9,18.8,55.8
2026-06-01 08:30:50,33.4,61.2,12.75,71.7
2026-06-01 08:30:55,34.5,45.3,14.05,68.3
2026-06-01 08:31:00,27.7,40.0,12.83,71.5
2026-06-01 08:31:05,32.0,45.9,6.71,87.6
2026-06-01 08:31:10,27.8,49.3,30.88,24.0
2026-06-01 08:31:15,31.5,46.3,30.88,24.0
2026-06-01 08:31:20,35.0,45.4,38.25,4.6
2026-06-01 08:31:25,32.0,41.5,29.21,28.4
2026-06-01 08:31:30,31.5,44.0,18.42,56.8
2026-06-01 08:31:35,34.9,47.2,37.57,6.4
2026-06-01 08:31:40,27.3,42.5,6.67,87.7
2026-06-01 08:31:45,34.7,44.8,18.38,56.9
2026-06-01 08:31:50,33.3,43.9,8.0,84.2
2026-06-01 08:31:55,33.4,53.4,29.82,26.8
2026-06-01 08:32:00,31.9,44.8,22.44,46.2
2026-06-01 08:32:05,32.4,53.4,17.12,60.2
2026-06-01 08:32:10,43.5,40.1,27.57,32.7
2026-06-01 08:32:15,35.5,44.4,21.46,48.8
2026-06-01 08:32:20,31.6,50.4,29.02,28.9
2026-06-01 08:32:25,33.1,52.6,25.67,37.7
